;;;t;V in;V out
;;;-0,00001514;4,52;
;;;-0,00001512;4,56;
;;;-0,0000151;4,52;
;;;-0,00001508;4,52;
;;;-0,00001506;4,52;
;;;-0,00001504;4,52;
;;;-0,00001502;4,52;
;;;-0,000015;4,52;
;;;-0,00001498;4,52;
;;;-0,00001496;4,56;
;;;-0,00001494;4,52;
;;;-0,00001492;4,52;
;;;-0,0000149;4,6;
;;;-0,00001488;4,48;
;;;-0,00001486;4,52;
;;;-0,00001484;4,56;
;;;-0,00001482;4,52;
;;;-0,0000148;4,56;
;;;-0,00001478;4,48;
;;;-0,00001476;4,48;
;;;-0,00001474;4,52;
;;;-0,00001472;4,52;
;;;-0,0000147;4,52;
;;;-0,00001468;4,52;
;;;-0,00001466;4,52;
;;;-0,00001464;4,48;
;;;-0,00001462;4,52;
;;;-0,0000146;4,48;
;;;-0,00001458;4,48;
;;;-0,00001456;4,52;
;;;-0,00001454;4,52;
;;;-0,00001452;4,48;
;;;-0,0000145;4,48;
;;;-0,00001448;4,52;
;;;-0,00001446;4,52;
;;;-0,00001444;4,56;
;;;-0,00001442;4,48;
;;;-0,0000144;4,44;
;;;-0,00001438;4,48;
;;;-0,00001436;4,48;
;;;-0,00001434;4,48;
;;;-0,00001432;4,48;
;;;-0,0000143;4,48;
;;;-0,00001428;4,48;
;;;-0,00001426;4,44;
;;;-0,00001424;4,48;
;;;-0,00001422;4,48;
;;;-0,0000142;4,48;
;;;-0,00001418;4,48;
;;;-0,00001416;4,48;
;;;-0,00001414;4,44;
;;;-0,00001412;4,48;
;;;-0,0000141;4,48;
;;;-0,00001408;4,44;
;;;-0,00001406;4,44;
;;;-0,00001404;4,44;
;;;-0,00001402;4,44;
;;;-0,000014;4,48;
;;;-0,00001398;4,4;
;;;-0,00001396;4,48;
;;;-0,00001394;4,44;
;;;-0,00001392;4,44;
;;;-0,0000139;4,44;
;;;-0,00001388;4,4;
;;;-0,00001386;4,44;
;;;-0,00001384;4,36;
;;;-0,00001382;4,48;
;;;-0,0000138;4,44;
;;;-0,00001378;4,4;
;;;-0,00001376;4,4;
;;;-0,00001374;4,4;
;;;-0,00001372;4,44;
;;;-0,0000137;4,4;
;;;-0,00001368;4,4;
;;;-0,00001366;4,4;
;;;-0,00001364;4,4;
;;;-0,00001362;4,44;
;;;-0,0000136;4,36;
;;;-0,00001358;4,4;
;;;-0,00001356;4,4;
;;;-0,00001354;4,4;
;;;-0,00001352;4,4;
;;;-0,0000135;4,36;
;;;-0,00001348;4,36;
;;;-0,00001346;4,4;
;;;-0,00001344;4,36;
;;;-0,00001342;4,36;
;;;-0,0000134;4,36;
;;;-0,00001338;4,36;
;;;-0,00001336;4,36;
;;;-0,00001334;4,36;
;;;-0,00001332;4,4;
;;;-0,0000133;4,4;
;;;-0,00001328;4,36;
;;;-0,00001326;4,36;
;;;-0,00001324;4,36;
;;;-0,00001322;4,32;
;;;-0,0000132;4,28;
;;;-0,00001318;4,36;
;;;-0,00001316;4,32;
;;;-0,00001314;4,36;
;;;-0,00001312;4,32;
;;;-0,0000131;4,32;
;;;-0,00001308;4,32;
;;;-0,00001306;4,32;
;;;-0,00001304;4,32;
;;;-0,00001302;4,32;
;;;-0,000013;4,32;
;;;-0,00001298;4,28;
;;;-0,00001296;4,36;
;;;-0,00001294;4,32;
;;;-0,00001292;4,32;
;;;-0,0000129;4,32;
;;;-0,00001288;4,28;
;;;-0,00001286;4,28;
;;;-0,00001284;4,28;
;;;-0,00001282;4,32;
;;;-0,0000128;4,32;
;;;-0,00001278;4,32;
;;;-0,00001276;4,28;
;;;-0,00001274;4,32;
;;;-0,00001272;4,28;
;;;-0,0000127;4,24;
;;;-0,00001268;4,28;
;;;-0,00001266;4,28;
;;;-0,00001264;4,28;
