;;;t;Vin;Vout
;;;-0,0000946;1,4688;0,03674
;;;-0,0000944;1,496;0,03542
;;;-0,0000942;1,496;0,03674
;;;-0,000094;1,4416;0,03542
;;;-0,0000938;1,4416;0,03411
;;;-0,0000936;1,4688;0,03411
;;;-0,0000934;1,496;0,03805
;;;-0,0000932;1,496;0,03542
;;;-0,000093;1,496;0,03542
;;;-0,0000928;1,4688;0,03411
;;;-0,0000926;1,496;0,03674
;;;-0,0000924;1,4688;0,03411
;;;-0,0000922;1,496;0,03674
;;;-0,000092;1,496;0,03411
;;;-0,0000918;1,496;0,03411
;;;-0,0000916;1,496;0,03411
;;;-0,0000914;1,496;0,03411
;;;-0,0000912;1,4416;0,03542
;;;-0,000091;1,496;0,03411
;;;-0,0000908;1,496;0,03542
;;;-0,0000906;1,496;0,03411
;;;-0,0000904;1,5504;0,03411
;;;-0,0000902;1,496;0,03542
;;;-0,00009;1,5232;0,03411
;;;-0,0000898;1,5232;0,03411
;;;-0,0000896;1,5232;0,03411
;;;-0,0000894;1,496;0,03411
;;;-0,0000892;1,496;0,03411
;;;-0,000089;1,5232;0,03411
;;;-0,0000888;1,5232;0,0328
;;;-0,0000886;1,5504;0,0328
;;;-0,0000884;1,5232;0,0328
;;;-0,0000882;1,5504;0,03149
;;;-0,000088;1,5232;0,03411
;;;-0,0000878;1,5776;0,0328
;;;-0,0000876;1,5232;0,03411
;;;-0,0000874;1,5504;0,0328
;;;-0,0000872;1,496;0,03149
;;;-0,000087;1,5232;0,03149
;;;-0,0000868;1,5232;0,03149
;;;-0,0000866;1,5504;0,03149
;;;-0,0000864;1,5232;0,03149
;;;-0,0000862;1,5504;0,0328
;;;-0,000086;1,5232;0,03149
;;;-0,0000858;1,5504;0,03149
;;;-0,0000856;1,5504;0,03018
;;;-0,0000854;1,5504;0,0328
;;;-0,0000852;1,5776;0,03149
;;;-0,000085;1,496;0,03411
;;;-0,0000848;1,5504;0,03149
;;;-0,0000846;1,5504;0,03018
;;;-0,0000844;1,5776;0,03411
;;;-0,0000842;1,5504;0,03149
;;;-0,000084;1,5232;0,03149
;;;-0,0000838;1,5776;0,03018
;;;-0,0000836;1,5232;0,03149
;;;-0,0000834;1,496;0,03018
;;;-0,0000832;1,5776;0,03018
;;;-0,000083;1,5776;0,03149
;;;-0,0000828;1,5776;0,03018
;;;-0,0000826;1,6048;0,02886
;;;-0,0000824;1,5504;0,03149
;;;-0,0000822;1,5504;0,03018
;;;-0,000082;1,5776;0,02886
;;;-0,0000818;1,6048;0,03018
;;;-0,0000816;1,5232;0,03149
;;;-0,0000814;1,5776;0,03018
;;;-0,0000812;1,5504;0,03018
;;;-0,000081;1,5776;0,03018
;;;-0,0000808;1,5232;0,02886
;;;-0,0000806;1,5232;0,02886
;;;-0,0000804;1,5232;0,02886
;;;-0,0000802;1,5776;0,03018
;;;-0,00008;1,5776;0,0328
;;;-0,0000798;1,5504;0,03018
;;;-0,0000796;1,632;0,02624
;;;-0,0000794;1,632;0,03149
;;;-0,0000792;1,6048;0,02886
;;;-0,000079;1,5776;0,02755
;;;-0,0000788;1,5504;0,02886
;;;-0,0000786;1,6048;0,03149
;;;-0,0000784;1,5504;0,03018
;;;-0,0000782;1,5776;0,02755
;;;-0,000078;1,632;0,02886
;;;-0,0000778;1,6048;0,03018
;;;-0,0000776;1,6048;0,02886
;;;-0,0000774;1,6048;0,02624
;;;-0,0000772;1,5776;0,02886
;;;-0,000077;1,6048;0,02493
;;;-0,0000768;1,6048;0,02493
;;;-0,0000766;1,6592;0,02755
;;;-0,0000764;1,6048;0,02624
;;;-0,0000762;1,632;0,02886
;;;-0,000076;1,6048;0,02886
;;;-0,0000758;1,6048;0,02624
;;;-0,0000756;1,6592;0,02755
;;;-0,0000754;1,632;0,02886
;;;-0,0000752;1,632;0,02624
;;;-0,000075;1,632;0,02755
;;;-0,0000748;1,632;0,02624
;;;-0,0000746;1,6592;0,02624
;;;-0,0000744;1,6592;0,02624
;;;-0,0000742;1,5776;0,02624
;;;-0,000074;1,6592;0,02493
;;;-0,0000738;1,6592;0,02624
;;;-0,0000736;1,6864;0,02624
;;;-0,0000734;1,6592;0,02624
;;;-0,0000732;1,632;0,02362
;;;-0,000073;1,6592;0,02493
;;;-0,0000728;1,6864;0,02493
;;;-0,0000726;1,6048;0,02362
;;;-0,0000724;1,6864;0,02493
;;;-0,0000722;1,6864;0,02624
;;;-0,000072;1,632;0,02624
;;;-0,0000718;1,6592;0,02362
;;;-0,0000716;1,6864;0,02493
;;;-0,0000714;1,6592;0,02362
;;;-0,0000712;1,6864;0,02362
;;;-0,000071;1,6864;0,02493
;;;-0,0000708;1,632;0,02624
;;;-0,0000706;1,6592;0,02493
;;;-0,0000704;1,632;0,02362
;;;-0,0000702;1,6592;0,0223
;;;-0,00007;1,6864;0,02493
;;;-0,0000698;1,7136;0,02624
;;;-0,0000696;1,6592;0,02362
;;;-0,0000694;1,6864;0,02493
;;;-0,0000692;1,6592;0,0223
;;;-0,000069;1,6864;0,02493
;;;-0,0000688;1,632;0,02362
;;;-0,0000686;1,6864;0,02493
;;;-0,0000684;1,6864;0,02493
;;;-0,0000682;1,7136;0,0223
;;;-0,000068;1,7408;0,0223
;;;-0,0000678;1,6864;0,02362
;;;-0,0000676;1,7136;0,02099
;;;-0,0000674;1,6864;0,02362
;;;-0,0000672;1,7136;0,02493
;;;-0,000067;1,7136;0,0223
;;;-0,0000668;1,7408;0,02493
;;;-0,0000666;1,632;0,0223
;;;-0,0000664;1,6864;0,0223
;;;-0,0000662;1,7136;0,0223
;;;-0,000066;1,7136;0,0223
;;;-0,0000658;1,6864;0,0223
;;;-0,0000656;1,7408;0,02362
;;;-0,0000654;1,7408;0,0223
;;;-0,0000652;1,7136;0,02099
;;;-0,000065;1,7136;0,02362
;;;-0,0000648;1,7408;0,01968
;;;-0,0000646;1,7136;0,0223
;;;-0,0000644;1,7408;0,02493
;;;-0,0000642;1,7136;0,02362
;;;-0,000064;1,7408;0,02362
;;;-0,0000638;1,7136;0,02099
;;;-0,0000636;1,7136;0,0223
;;;-0,0000634;1,7408;0,0223
;;;-0,0000632;1,7136;0,0223
;;;-0,000063;1,768;0,02362
;;;-0,0000628;1,7408;0,02362
;;;-0,0000626;1,6864;0,01968
;;;-0,0000624;1,7408;0,01968
;;;-0,0000622;1,7408;0,02362
;;;-0,000062;1,7408;0,02362
